Id	Type	ShowType	Title	Img	OpenStoryLineContentId	LockDesc	UnlockDesc	CompleteDesc	ScriptId	StoryId	Index
2100	1	1	Watanabe	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto02.png	102	This clue not collected	One of your companions. You can't recall how you met him right now.	"War," the Horseman you signed a Blood Covenant with, capable of summoning Demon's Flintlock. To end the Iron Army's atrocities, he joined your crusade against the Sanctuary.	2100	RG01001BA	100
2101	2	2	Demon's Flintlock	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	102	This clue not collected	Watanabe's levitating firearm, whose mechanism and operating principle remain a mystery.	Watanabe's levitating firearm, whose mechanism and operating principle remain a mystery.			101
2102	2	2	"Gyrfalcon"	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	102	This clue not collected	Watanabe's father and the Iron Army's former commander.	Watanabe's father and the Iron Army's former commander.			102
2103	2	2	Watanabe's Plan	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	102	This clue not collected	It seems Watanabe is planning something that requires your support.	It seems Watanabe is planning something that requires your support.			103
2200	1	1	The Iron Army	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto02.png	205	This clue not collected	They were once humanity's bastion against demons but now a lackey of them, helping the Angels to rule the Scorched Borderland's inhabitants.	They were once humanity's bastion against demons but now manipulated by the Sanctuary and has become its bloodthirsty lackey, slaughtering people on this land under the remote control of the Angels.	2200		200
2201	2	2	Morigan	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	205	This clue not collected	Nirvatia's magical pet, who's following you around at this very moment.	Nirvatia's magical pet, who's following you around at this very moment.			201
2202	2	2	The Quiet Rolling Stone Valley	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	205	This clue not collected	A transportation hub connecting the east and the west of the Scorched Borderland. It seems that the Angels have never attacked this place. Black market merchants from near and far all choose it to ship valuable goods to the west.	A transportation hub connecting the east and the west of the Scorched Borderland. It seems that the Angels have never attacked this place. Black market merchants from near and far all choose it to ship valuable goods to the west.			202
2203	2	2	Manipulated by the Sanctuary	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	205	This clue not collected	Those manipulated by the Sanctuary will become obedient puppets, with death being their sole escape.	Those manipulated by the Sanctuary will become obedient puppets, with death being their sole escape.			203
2204	2	2	Corrupted by the Act of God	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	205	This clue not collected	Many plants and animals have mutated as a result of the blood rain Act of God.	Many plants and animals have mutated as a result of the blood rain Act of God.			204
2205	2	2	The Scherman Bastion Under Attack	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	205	This clue not collected	A sacked city. Watanabe has found fresh camping traces in the suburbs.	A sacked city. Watanabe has found fresh camping traces in the suburbs.			205
2206	2	2	Traveling Merchant	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	205	This clue not collected	A merchant you saved who's willing to offer you horses and supplies for free.	A merchant you saved who's willing to offer you horses and supplies for free.			206
2300	1	1	Halo Fortress	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto02.png	212	This clue not collected	An important stronghold controlled by the Iron Army. Rumor has it that it is exactly where the godslayer Halo Cannon is.	An important stronghold controlled by the Iron Army. The army is bringing in all its forces across the Scorched Borderland here at full speed. To make it quick, the team has made an "inside-outside attack plan," preparing to launch a surprise attack on the fortress.	2300		300
2301	2	2	Death of Iron	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	212	This clue not collected	One of the famous Three Ashfire Heroes who actually controls the Iron Army. Now this formidable battler is manipulated by the Sanctuary and has lost his reason.	One of the famous Three Ashfire Heroes who actually controls the Iron Army. Now this formidable battler is manipulated by the Sanctuary and has lost his reason.			301
2302	2	2	Halo Bullets	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	212	This clue not collected	The Iron Army's relic. Load the Halo Cannon with these bullets and you'll get a godslayer beam gun. However, this requires extended charging before use, so average bullets are recommended in normal case.	The Iron Army's relic. Load the Halo Cannon with these bullets and you'll get a godslayer beam gun. However, this requires extended charging before use, so average bullets are recommended in normal case.			302
2303	2	2	The Arrest Warrant	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	212	This clue not collected	An arrest warrant with Watanabe's portrait and "Most Wanted, 100000 Mammon."	An arrest warrant with Watanabe's portrait and "Most Wanted, 100000 Mammon."			303
2304	2	2	The Rallied Rebel Forces	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	212	This clue not collected	The armed forces that have gathered under the banner of the "Gray Raven." They are equipped with outdated weapons but high in morale.	The armed forces that have gathered under the banner of the "Gray Raven." They are equipped with outdated weapons but high in morale.			304
2305	2	2	The Influx of Refugees	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	212	This clue not collected	The refugees flooding in from all directions have put the Rusty Yoke's support systems under tremendous pressure.	The refugees flooding in from all directions have put the Rusty Yoke's support systems under tremendous pressure.			305
2306	2	2	The Halo Fortress' Recent Situation	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	212	This clue not collected	Recently, the Iron Army has been retreating to the Halo Fortress. The Fortress itself has reinforced its defenses and is heavily guarded now.	Recently, the Iron Army has been retreating to the Halo Fortress. The Fortress itself has reinforced its defenses and is heavily guarded now.			306
3100	1	1	Death Knight	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto02.png	102	This clue not collected	One of your companions. You can't recall how you met him right now.	"Death," the Demon Lord you signed a Blood Covenant with, is capable of immortality. To reclaim the Hell Train, she joined your crusade against the Sanctuary.	3100	RG01007BA	100
3101	2	2	Entrenching Shovel	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	102	This clue not collected	One of the famous Three Ashfire Heroes who actually controls the Iron Army. Now this formidable battler is manipulated by the Sanctuary and has lost his reason.	One of the famous Three Ashfire Heroes who actually controls the Iron Army. Now this formidable battler is manipulated by the Sanctuary and has lost his reason.			101
3102	2	2	Demon Lord	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	102	This clue not collected	It is said that only a rare few high-ranking demons have received the Death Lord's blessing, gaining immense power and the title of Demon Lord. They rule Hell in his stead and are never able to kill one another.	It is said that only a rare few high-ranking demons have received the Death Lord's blessing, gaining immense power and the title of Demon Lord. They rule Hell in his stead and are never able to kill one another.			103
3103	2	2	The Hell Train	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	102	This clue not collected	The Death Knight's train was once seized by the Sanctuary, but later reclaimed by you and the Four Knights.	The Death Knight's train was once seized by the Sanctuary, but later reclaimed by you and the Four Knights.			104
3104	2	2	Rift of Chaos	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	102	This clue not collected	The passage between the mortal world and Hell. Demons once flooded through this rift, waging a long and brutal war against mankind.	The passage between the mortal world and Hell. Demons once flooded through this rift, waging a long and brutal war against mankind.			105
3105	2	2	Death Lord	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	102	This clue not collected	Nyarlathotep, also known as "The Death Lord", is an abyssal overlord who rules Hell and governs the laws of life and death.	Nyarlathotep, also known as "The Death Lord", is an abyssal overlord who rules Hell and governs the laws of life and death.			102
